date,expiry_date,time,profit,strike_price,actual_strike_price,call_start,call_stop,call_profit,call_profit_percent,call_stop_time,put_start,put_stop,put_profit,put_profit_percent,put_stop_time,net,net_gain,net_loss
02-06-2022,02-06-2022,12:40,5.0,35500,35534.7,148.4,186.95,38.54999999999998,25.977088948787046,2022-06-02 13:45:00,103.0,110.35,7.349999999999994,7.135922330097082,2022-06-02 12:42:00,45.89999999999998,45.89999999999998,
09-06-2022,09-06-2022,12:40,5.0,34900,34933.65,113.8,124.9,11.100000000000009,9.753954305799656,2022-06-09 15:02:00,77.75,85.7,7.950000000000003,10.225080385852094,2022-06-09 12:41:00,19.05000000000001,19.05000000000001,
16-06-2022,16-06-2022,12:40,5.0,33100,33149.9,130.7,0.15,,,2022-06-16 15:20:00,117.65,124.3,6.6499999999999915,5.652358691032717,2022-06-16 12:41:00,-123.89999999999999,,-123.89999999999999
23-06-2022,23-06-2022,12:40,5.0,32900,32957.8,139.95,150.05,10.100000000000023,7.216863165416237,2022-06-23 13:34:00,88.55,121.35,32.8,37.041219649915305,2022-06-23 12:45:00,42.90000000000002,42.90000000000002,
30-06-2022,30-06-2022,12:40,5.0,33400,33429.75,186.8,33.85,,,2022-06-30 15:20:00,96.8,122.85,26.049999999999997,26.911157024793386,2022-06-30 12:41:00,-126.90000000000002,,-126.90000000000002
07-07-2022,07-07-2022,12:40,5.0,34700,34735.45,100.1,113.7,13.600000000000009,13.586413586413595,2022-07-07 13:00:00,93.05,109.25,16.200000000000003,17.409994626544872,2022-07-07 12:44:00,29.80000000000001,29.80000000000001,
14-07-2022,14-07-2022,12:40,5.0,34700,34703.85,102.55,117.6,15.049999999999997,14.675767918088734,2022-07-14 12:46:00,105.05,120.3,15.25,14.516896715849596,2022-07-14 13:21:00,30.299999999999997,30.299999999999997,
21-07-2022,21-07-2022,12:40,5.0,36200,36248.85,114.1,130.9,16.80000000000001,14.723926380368107,2022-07-21 12:42:00,79.75,91.45,11.700000000000003,14.67084639498433,2022-07-21 13:01:00,28.500000000000014,28.500000000000014,
28-07-2022,28-07-2022,12:40,5.0,37300,37332.85,96.95,102.4,5.450000000000003,5.621454357916455,2022-07-28 12:51:00,72.45,76.35,3.8999999999999915,5.3830227743271095,2022-07-28 12:42:00,9.349999999999994,9.349999999999994,
04-08-2022,04-08-2022,12:40,5.0,37600,37637.75,113.3,161.6,48.3,42.63018534863195,2022-08-04 12:53:00,86.2,91.15,4.950000000000003,5.742459396751743,2022-08-04 12:41:00,53.25,53.25,
11-08-2022,11-08-2022,12:40,5.0,38800,38882.1,131.0,139.9,8.900000000000006,6.793893129770996,2022-08-11 12:42:00,49.05,53.5,4.450000000000003,9.072375127421004,2022-08-11 13:23:00,13.350000000000009,13.350000000000009,
18-08-2022,18-08-2022,12:40,5.0,39400,39410.9,87.2,98.05,10.849999999999994,12.44266055045871,2022-08-18 12:44:00,66.05,77.3,11.25,17.032551097653293,2022-08-18 12:49:00,22.099999999999994,22.099999999999994,
25-08-2022,25-08-2022,12:40,5.0,39400,39413.75,102.3,108.35,6.049999999999997,5.913978494623653,2022-08-25 12:41:00,78.45,86.05,7.599999999999994,9.687699171446775,2022-08-25 12:44:00,13.649999999999991,13.649999999999991,
