date,expiry_date,time,profit,strike_price,actual_strike_price,call_start,call_stop,call_profit,call_profit_percent,call_stop_time,put_start,put_stop,put_profit,put_profit_percent,put_stop_time,net,net_gain,net_loss
10-11-2022,10-11-2022,12:50,5.0,41400,41354.25,48.1,52.5,4.399999999999999,9.147609147609144,2022-11-10 12:56:00,99.25,0.2,,,2022-11-10 15:20:00,-94.65,,-94.65
17-11-2022,17-11-2022,12:50,5.0,42500,42489.4,70.65,74.45,3.799999999999997,5.378627034677986,2022-11-17 12:57:00,58.25,33.3,,,2022-11-17 15:20:00,-21.150000000000006,,-21.150000000000006
24-11-2022,24-11-2022,12:50,5.0,43000,42955.3,39.95,42.9,2.9499999999999957,7.384230287859814,2022-11-24 12:51:00,85.6,90.7,5.1000000000000085,5.957943925233655,2022-11-24 12:55:00,8.050000000000004,8.050000000000004,
01-12-2022,01-12-2022,12:50,5.0,43400,43391.9,73.95,0.3,,,2022-12-01 15:20:00,45.1,47.65,2.549999999999997,5.654101995565404,2022-12-01 12:54:00,-71.10000000000001,,-71.10000000000001
08-12-2022,08-12-2022,12:50,5.0,43400,43360.9,47.1,49.65,2.549999999999997,5.414012738853497,2022-12-08 12:57:00,82.95,0.15,,,2022-12-08 15:20:00,-80.25,,-80.25
15-12-2022,15-12-2022,12:50,5.0,43900,43875.9,55.0,0.25,,,2022-12-15 15:20:00,75.05,79.0,3.950000000000003,5.263157894736846,2022-12-15 12:52:00,-50.8,,-50.8
22-12-2022,22-12-2022,12:50,5.0,42300,42293.4,107.55,119.1,11.549999999999997,10.739191073919105,2022-12-22 12:51:00,105.95,116.25,10.299999999999997,9.721566776781499,2022-12-22 12:52:00,21.849999999999994,21.849999999999994,
29-12-2022,29-12-2022,12:50,5.0,42700,42634.6,54.9,58.05,3.1499999999999986,5.737704918032784,2022-12-29 12:57:00,121.75,128.4,6.650000000000006,5.4620123203285464,2022-12-29 12:53:00,9.800000000000004,9.800000000000004,
05-01-2023,05-01-2023,12:50,5.0,42700,42606.3,71.3,74.95,3.6500000000000057,5.119214586255268,2023-01-05 13:13:00,149.95,170.1,20.150000000000006,13.437812604201405,2023-01-05 12:51:00,23.80000000000001,23.80000000000001,
12-01-2023,12-01-2023,12:50,5.0,42000,41932.3,88.0,98.6,10.599999999999994,12.045454545454538,2023-01-12 12:51:00,123.9,143.8,19.900000000000006,16.061339790153355,2023-01-12 13:11:00,30.5,30.5,
19-01-2023,19-01-2023,12:50,5.0,42400,42302.7,48.7,51.2,2.5,5.133470225872689,2023-01-19 12:53:00,159.55,173.0,13.449999999999989,8.429959260419924,2023-01-19 12:55:00,15.949999999999989,15.949999999999989,
25-01-2023,25-01-2023,12:50,5.0,41900,41803.5,63.05,66.45,3.4000000000000057,5.392545598731175,2023-01-25 12:52:00,134.65,143.2,8.549999999999983,6.34979576680281,2023-01-25 12:51:00,11.949999999999989,11.949999999999989,
25-01-2023,25-01-2023,12:50,5.0,41900,41803.5,63.05,66.45,3.4000000000000057,5.392545598731175,2023-01-25 12:52:00,134.65,143.2,8.549999999999983,6.34979576680281,2023-01-25 12:51:00,11.949999999999989,11.949999999999989,
02-02-2023,02-02-2023,12:50,5.0,40300,40242.4,128.0,159.9,31.900000000000006,24.921875000000004,2023-02-02 12:51:00,185.55,196.35,10.799999999999983,5.8205335489086405,2023-02-02 13:37:00,42.69999999999999,42.69999999999999,
09-02-2023,09-02-2023,12:50,5.0,41400,41346.0,72.25,80.7,8.450000000000003,11.69550173010381,2023-02-09 13:34:00,114.75,126.0,11.25,9.803921568627452,2023-02-09 12:51:00,19.700000000000003,19.700000000000003,
16-02-2023,16-02-2023,12:50,5.0,41800,41718.7,61.7,66.95,5.25,8.508914100486223,2023-02-16 12:54:00,143.65,150.95,7.299999999999983,5.081796032022265,2023-02-16 12:52:00,12.549999999999983,12.549999999999983,
23-02-2023,23-02-2023,12:50,5.0,39900,39806.85,57.45,67.75,10.299999999999997,17.928633594429932,2023-02-23 12:51:00,144.9,0.2,,,2023-02-23 15:20:00,-134.40000000000003,,-134.40000000000003
02-03-2023,02-03-2023,12:50,5.0,40600,40596.05,67.85,0.1,,,2023-03-02 15:20:00,72.0,82.75,10.75,14.930555555555555,2023-03-02 12:52:00,-57.0,,-57.0
09-03-2023,09-03-2023,12:50,5.0,41500,41440.65,51.3,55.95,4.650000000000006,9.06432748538013,2023-03-09 12:55:00,84.15,89.55,5.3999999999999915,6.41711229946523,2023-03-09 12:51:00,10.049999999999997,10.049999999999997,
16-03-2023,16-03-2023,12:50,5.0,38900,38847.9,86.95,97.15,10.200000000000003,11.730879815986201,2023-03-16 12:51:00,132.0,0.1,,,2023-03-16 15:20:00,-121.7,,-121.7
23-03-2023,23-03-2023,12:50,5.0,40200,40164.2,89.75,0.15,,,2023-03-23 15:20:00,102.7,115.3,12.599999999999994,12.268743914313529,2023-03-23 12:51:00,-77.0,,-77.0
29-03-2023,29-03-2023,12:50,5.0,39800,39757.9,69.2,78.3,9.099999999999994,13.150289017341033,2023-03-29 13:00:00,121.05,135.7,14.649999999999991,12.1024370095002,2023-03-29 12:53:00,23.749999999999986,23.749999999999986,
29-03-2023,29-03-2023,12:50,5.0,39800,39757.9,69.2,78.3,9.099999999999994,13.150289017341033,2023-03-29 13:00:00,121.05,135.7,14.649999999999991,12.1024370095002,2023-03-29 12:53:00,23.749999999999986,23.749999999999986,
06-04-2023,06-04-2023,12:50,5.0,41200,41137.85,56.2,61.2,5.0,8.89679715302491,2023-04-06 12:54:00,115.0,127.0,12.0,10.434782608695652,2023-04-06 13:00:00,17.0,17.0,
06-04-2023,06-04-2023,12:50,5.0,41200,41137.85,56.2,61.2,5.0,8.89679715302491,2023-04-06 12:54:00,115.0,127.0,12.0,10.434782608695652,2023-04-06 13:00:00,17.0,17.0,
13-04-2023,13-04-2023,12:50,5.0,41700,41673.05,65.9,71.45,5.549999999999997,8.421851289833075,2023-04-13 12:51:00,80.8,0.05,,,2023-04-13 15:20:00,-75.2,,-75.2
13-04-2023,13-04-2023,12:50,5.0,41700,41673.05,65.9,71.45,5.549999999999997,8.421851289833075,2023-04-13 12:51:00,80.8,0.05,,,2023-04-13 15:20:00,-75.2,,-75.2
