Unnamed: 0,datetime,stock_code,exchange_code,product_type,expiry_date,right,strike_price,open,high,low,close,volume,open_interest,count
29025,2022-06-01 07:40:00,NIFTY,NSE,,,,,16584.55,16584.55,16584.55,16584.55,,,29025
29026,2022-06-01 07:45:00,NIFTY,NSE,,,,,16584.55,16584.55,16584.55,16584.55,,,29026
29027,2022-06-01 07:50:00,NIFTY,NSE,,,,,16584.55,16584.55,16584.55,16584.55,,,29027
29028,2022-06-01 07:55:00,NIFTY,NSE,,,,,16584.55,16584.55,16584.55,16584.55,,,29028
29029,2022-06-01 08:00:00,NIFTY,NSE,,,,,16584.55,16584.55,16584.55,16584.55,,,29029
29030,2022-06-01 08:05:00,NIFTY,NSE,,,,,16584.55,16584.55,16584.55,16584.55,,,29030
29031,2022-06-01 08:10:00,NIFTY,NSE,,,,,16584.55,16584.55,16584.55,16584.55,,,29031
29032,2022-06-01 08:15:00,NIFTY,NSE,,,,,16584.55,16584.55,16584.55,16584.55,,,29032
29033,2022-06-01 08:20:00,NIFTY,NSE,,,,,16584.55,16584.55,16584.55,16584.55,,,29033
29034,2022-06-01 08:25:00,NIFTY,NSE,,,,,16584.55,16584.55,16584.55,16584.55,,,29034
29035,2022-06-01 08:30:00,NIFTY,NSE,,,,,16584.55,16584.55,16584.55,16584.55,,,29035
29036,2022-06-01 08:35:00,NIFTY,NSE,,,,,16584.55,16584.55,16584.55,16584.55,,,29036
29037,2022-06-01 08:40:00,NIFTY,NSE,,,,,16584.55,16584.55,16584.55,16584.55,,,29037
29038,2022-06-01 08:45:00,NIFTY,NSE,,,,,16584.55,16584.55,16584.55,16584.55,,,29038
29039,2022-06-01 08:50:00,NIFTY,NSE,,,,,16584.55,16584.55,16584.55,16584.55,,,29039
29040,2022-06-01 08:55:00,NIFTY,NSE,,,,,16584.55,16584.55,16584.55,16584.55,,,29040
29041,2022-06-01 09:00:00,NIFTY,NSE,,,,,16584.55,16584.55,16397.6,16523.9,,,29041
29042,2022-06-01 09:05:00,NIFTY,NSE,,,,,16541.8,16609.4,16538.3,16598.55,,,29042
29043,2022-06-01 09:10:00,NIFTY,NSE,,,,,16598.5,16598.5,16582.3,16594.4,,,29043
29044,2022-06-01 09:15:00,NIFTY,NSE,,,,,16594.4,16594.7,16579.6,16583.15,,,29044
29045,2022-06-01 09:20:00,NIFTY,NSE,,,,,16573.85,16648.5,16565.0,16641.7,,,29045
29046,2022-06-01 09:25:00,NIFTY,NSE,,,,,16641.7,16643.6,16620.2,16630.55,,,29046
29047,2022-06-01 09:30:00,NIFTY,NSE,,,,,16632.45,16633.7,16615.65,16618.6,,,29047
29048,2022-06-01 09:35:00,NIFTY,NSE,,,,,16618.15,16636.05,16611.15,16627.9,,,29048
29049,2022-06-01 09:40:00,NIFTY,NSE,,,,,16628.45,16633.15,16576.4,16576.4,,,29049
29050,2022-06-01 09:45:00,NIFTY,NSE,,,,,16576.25,16588.2,16569.2,16570.25,,,29050
29051,2022-06-01 09:50:00,NIFTY,NSE,,,,,16569.8,16602.6,16562.15,16598.8,,,29051
29052,2022-06-01 09:55:00,NIFTY,NSE,,,,,16598.15,16602.4,16548.35,16550.3,,,29052
29053,2022-06-01 10:00:00,NIFTY,NSE,,,,,16550.8,16560.25,16538.15,16551.65,,,29053
29054,2022-06-01 10:05:00,NIFTY,NSE,,,,,16549.8,16564.3,16547.7,16549.0,,,29054
29055,2022-06-01 10:10:00,NIFTY,NSE,,,,,16548.95,16577.25,16546.2,16576.55,,,29055
29056,2022-06-01 10:15:00,NIFTY,NSE,,,,,16576.1,16588.55,16574.1,16586.05,,,29056
29057,2022-06-01 10:20:00,NIFTY,NSE,,,,,16586.15,16597.4,16584.2,16592.65,,,29057
29058,2022-06-01 10:25:00,NIFTY,NSE,,,,,16592.6,16611.2,16587.8,16610.9,,,29058
29059,2022-06-01 10:30:00,NIFTY,NSE,,,,,16610.2,16619.5,16604.7,16608.9,,,29059
29060,2022-06-01 10:35:00,NIFTY,NSE,,,,,16608.85,16618.3,16597.9,16617.8,,,29060
29061,2022-06-01 10:40:00,NIFTY,NSE,,,,,16617.7,16629.0,16615.85,16627.0,,,29061
29062,2022-06-01 10:45:00,NIFTY,NSE,,,,,16627.5,16632.25,16604.35,16614.85,,,29062
29063,2022-06-01 10:50:00,NIFTY,NSE,,,,,16615.7,16616.6,16604.75,16604.9,,,29063
29064,2022-06-01 10:55:00,NIFTY,NSE,,,,,16604.8,16607.65,16594.65,16607.3,,,29064
29065,2022-06-01 11:00:00,NIFTY,NSE,,,,,16607.2,16616.8,16607.2,16612.0,,,29065
29066,2022-06-01 11:05:00,NIFTY,NSE,,,,,16612.15,16612.9,16585.25,16590.4,,,29066
29067,2022-06-01 11:10:00,NIFTY,NSE,,,,,16592.1,16593.4,16579.9,16592.7,,,29067
29068,2022-06-01 11:15:00,NIFTY,NSE,,,,,16592.75,16597.5,16582.9,16587.45,,,29068
29069,2022-06-01 11:20:00,NIFTY,NSE,,,,,16587.9,16589.95,16568.2,16571.85,,,29069
29070,2022-06-01 11:25:00,NIFTY,NSE,,,,,16571.75,16592.35,16569.75,16589.25,,,29070
29071,2022-06-01 11:30:00,NIFTY,NSE,,,,,16589.2,16595.0,16576.2,16591.85,,,29071
29072,2022-06-01 11:35:00,NIFTY,NSE,,,,,16591.25,16612.45,16588.45,16611.5,,,29072
29073,2022-06-01 11:40:00,NIFTY,NSE,,,,,16610.75,16610.75,16599.25,16606.2,,,29073
29074,2022-06-01 11:45:00,NIFTY,NSE,,,,,16606.5,16609.85,16601.65,16605.25,,,29074
29075,2022-06-01 11:50:00,NIFTY,NSE,,,,,16604.35,16608.8,16594.8,16604.45,,,29075
29076,2022-06-01 11:55:00,NIFTY,NSE,,,,,16604.0,16618.5,16593.95,16594.95,,,29076
29077,2022-06-01 12:00:00,NIFTY,NSE,,,,,16594.4,16604.2,16587.15,16587.2,,,29077
29078,2022-06-01 12:05:00,NIFTY,NSE,,,,,16586.95,16591.3,16577.9,16579.1,,,29078
29079,2022-06-01 12:10:00,NIFTY,NSE,,,,,16578.75,16594.75,16578.35,16585.05,,,29079
29080,2022-06-01 12:15:00,NIFTY,NSE,,,,,16584.65,16591.8,16576.45,16586.5,,,29080
29081,2022-06-01 12:20:00,NIFTY,NSE,,,,,16586.45,16587.1,16574.55,16576.0,,,29081
29082,2022-06-01 12:25:00,NIFTY,NSE,,,,,16575.85,16578.65,16570.75,16577.1,,,29082
29083,2022-06-01 12:30:00,NIFTY,NSE,,,,,16576.35,16587.3,16567.7,16570.35,,,29083
29084,2022-06-01 12:35:00,NIFTY,NSE,,,,,16571.8,16580.1,16560.85,16578.65,,,29084
29085,2022-06-01 12:40:00,NIFTY,NSE,,,,,16578.3,16581.95,16569.6,16574.05,,,29085
29086,2022-06-01 12:45:00,NIFTY,NSE,,,,,16574.65,16586.45,16574.65,16582.45,,,29086
29087,2022-06-01 12:50:00,NIFTY,NSE,,,,,16582.15,16585.9,16575.9,16578.5,,,29087
29088,2022-06-01 12:55:00,NIFTY,NSE,,,,,16578.7,16580.65,16564.35,16564.65,,,29088
29089,2022-06-01 13:00:00,NIFTY,NSE,,,,,16564.4,16581.2,16563.05,16571.35,,,29089
29090,2022-06-01 13:05:00,NIFTY,NSE,,,,,16570.5,16578.3,16569.6,16576.85,,,29090
29091,2022-06-01 13:10:00,NIFTY,NSE,,,,,16577.25,16583.55,16566.65,16567.05,,,29091
29092,2022-06-01 13:15:00,NIFTY,NSE,,,,,16567.05,16567.2,16536.05,16536.05,,,29092
29093,2022-06-01 13:20:00,NIFTY,NSE,,,,,16534.65,16543.85,16529.2,16539.45,,,29093
29094,2022-06-01 13:25:00,NIFTY,NSE,,,,,16539.3,16551.85,16519.15,16527.2,,,29094
29095,2022-06-01 13:30:00,NIFTY,NSE,,,,,16528.25,16535.75,16510.15,16510.8,,,29095
29096,2022-06-01 13:35:00,NIFTY,NSE,,,,,16511.15,16532.9,16506.3,16527.25,,,29096
29097,2022-06-01 13:40:00,NIFTY,NSE,,,,,16527.95,16530.65,16499.05,16506.95,,,29097
29098,2022-06-01 13:45:00,NIFTY,NSE,,,,,16506.45,16508.05,16477.9,16479.05,,,29098
29099,2022-06-01 13:50:00,NIFTY,NSE,,,,,16479.2,16499.55,16479.2,16496.8,,,29099
29100,2022-06-01 13:55:00,NIFTY,NSE,,,,,16496.8,16503.7,16485.3,16496.9,,,29100
29101,2022-06-01 14:00:00,NIFTY,NSE,,,,,16498.15,16511.8,16493.3,16502.05,,,29101
29102,2022-06-01 14:05:00,NIFTY,NSE,,,,,16502.15,16517.0,16497.45,16515.4,,,29102
29103,2022-06-01 14:10:00,NIFTY,NSE,,,,,16515.0,16521.75,16483.85,16494.55,,,29103
29104,2022-06-01 14:15:00,NIFTY,NSE,,,,,16493.95,16495.45,16462.8,16466.0,,,29104
29105,2022-06-01 14:20:00,NIFTY,NSE,,,,,16466.85,16482.65,16464.25,16476.05,,,29105
29106,2022-06-01 14:25:00,NIFTY,NSE,,,,,16475.7,16487.65,16467.5,16472.35,,,29106
29107,2022-06-01 14:30:00,NIFTY,NSE,,,,,16472.85,16475.15,16456.25,16456.85,,,29107
29108,2022-06-01 14:35:00,NIFTY,NSE,,,,,16455.5,16474.05,16455.5,16473.85,,,29108
29109,2022-06-01 14:40:00,NIFTY,NSE,,,,,16473.45,16488.0,16469.45,16470.95,,,29109
29110,2022-06-01 14:45:00,NIFTY,NSE,,,,,16470.75,16474.75,16441.6,16442.35,,,29110
29111,2022-06-01 14:50:00,NIFTY,NSE,,,,,16441.75,16457.35,16439.05,16449.7,,,29111
29112,2022-06-01 14:55:00,NIFTY,NSE,,,,,16448.8,16464.9,16441.0,16457.9,,,29112
29113,2022-06-01 15:00:00,NIFTY,NSE,,,,,16458.0,16468.25,16453.6,16468.25,,,29113
