date,token,stoploss,max_order,net_P&L,time
2021-08-18,BNF,0.5,3,84.15,1.5639073848724365
2021-08-26,BNF,0.5,3,132.35000000000002,4.538123369216919
2021-09-02,BNF,0.5,3,-13.300000000000026,1.4410347938537598
2021-09-09,BNF,0.5,3,97.79999999999998,1.6211531162261963
2021-09-16,BNF,0.5,3,56.749999999999986,2.289757251739502
2021-09-23,BNF,0.5,3,125.85,1.8191628456115723
2021-09-30,BNF,0.5,3,-16.400000000000002,2.8520524501800537
2021-10-07,BNF,0.5,3,81.5,2.2426044940948486
2021-10-14,BNF,0.5,3,52.599999999999994,1.3632299900054932
2021-10-21,BNF,0.5,3,42.29999999999997,1.1771831512451172
2021-10-28,BNF,0.5,3,141.8,1.3524394035339355
2021-11-03,BNF,0.5,3,57.64999999999999,1.9776124954223633
2021-11-11,BNF,0.5,3,221.05,1.4282557964324951
2021-11-18,BNF,0.5,3,219.20000000000005,1.2326791286468506
2021-11-25,BNF,0.5,3,-116.55000000000001,1.270585298538208
2021-12-02,BNF,0.5,3,56.499999999999986,1.4357562065124512
2021-12-09,BNF,0.5,3,39.70000000000002,1.695286750793457
2021-12-16,BNF,0.5,3,96.5,1.058713674545288
2021-12-23,BNF,0.5,3,42.39999999999998,1.2199037075042725
2021-12-30,BNF,0.5,3,48.050000000000004,2.184722423553467
2022-01-06,BNF,0.5,3,0,24.704450130462646
2022-01-13,BNF,0.5,3,105.05,1.464834451675415
2022-01-20,BNF,0.5,3,148.85000000000002,2.1746160984039307
2022-01-27,BNF,0.5,3,46.04999999999997,1.9215927124023438
2022-02-03,BNF,0.5,3,41.650000000000034,1.1853785514831543
2022-02-10,BNF,0.5,3,26.599999999999966,1.473944902420044
2022-02-17,BNF,0.5,3,14.200000000000017,1.1286275386810303
2022-02-24,BNF,0.5,3,34.60000000000002,1.6714484691619873
2022-03-03,BNF,0.5,3,224.14999999999998,1.755981206893921
2022-03-10,BNF,0.5,3,358.1,2.2165253162384033
2022-03-17,BNF,0.5,3,107.2,2.5830111503601074
2022-03-24,BNF,0.5,3,170.30000000000007,2.244140386581421
2022-03-31,BNF,0.5,3,66.74999999999997,2.4425370693206787
2022-04-07,BNF,0.5,3,69.35000000000002,1.2477521896362305
2022-04-13,BNF,0.5,3,122.39999999999999,1.4126572608947754
2022-04-21,BNF,0.5,3,69.00000000000001,1.7580840587615967
2022-04-28,BNF,0.5,3,11.650000000000011,2.689814329147339
2022-05-05,BNF,0.5,3,33.75,1.5981647968292236
2022-05-12,BNF,0.5,3,45.50000000000001,1.1707649230957031
2022-05-19,BNF,0.5,3,80.25000000000006,1.6652371883392334
2022-05-26,BNF,0.5,3,113.20000000000002,3.5253632068634033
2022-06-02,BNF,0.5,3,-55.40000000000002,1.858996868133545
2022-06-09,BNF,0.5,3,-34.900000000000006,1.7434039115905762
2022-06-16,BNF,0.5,3,89.75,1.549894094467163
2022-06-23,BNF,0.5,3,49.75000000000002,1.9692730903625488
2022-06-30,BNF,0.5,3,-111.94999999999999,3.07382869720459
2022-07-07,BNF,0.5,3,130.3,1.3178269863128662
2022-07-14,BNF,0.5,3,66.7,1.6267993450164795
2022-07-21,BNF,0.5,3,40.79999999999999,1.2326838970184326
2022-07-28,BNF,0.5,3,49.20000000000001,1.3658406734466553
2022-08-04,BNF,0.5,3,170.45,1.6414470672607422
2022-08-11,BNF,0.5,3,64.74999999999999,1.2034978866577148
2022-08-18,BNF,0.5,3,7.79999999999999,1.353987693786621
2022-08-25,BNF,0.5,3,4.150000000000013,2.019669532775879
2021-08-18,BNF,0.55,3,78.75,1.7985246181488037
2021-08-26,BNF,0.55,3,118.44999999999999,4.741274118423462
2021-09-02,BNF,0.55,3,8.449999999999957,1.6603984832763672
2021-09-09,BNF,0.55,3,85.40000000000003,1.6183407306671143
2021-09-16,BNF,0.55,3,45.85000000000001,2.7997517585754395
2021-09-23,BNF,0.55,3,118.55000000000001,2.18387770652771
2021-09-30,BNF,0.55,3,-43.400000000000006,3.588043212890625
2021-10-07,BNF,0.55,3,60.050000000000004,2.229625940322876
2021-10-14,BNF,0.55,3,45.000000000000014,1.2395637035369873
2021-10-21,BNF,0.55,3,43.699999999999974,1.1195189952850342
2021-10-28,BNF,0.55,3,124.70000000000002,1.3996241092681885
2021-11-03,BNF,0.55,3,37.949999999999974,1.917205572128296
2021-11-11,BNF,0.55,3,215.35000000000002,1.2613184452056885
2021-11-18,BNF,0.55,3,191.8,1.4688477516174316
2021-11-25,BNF,0.55,3,-73.49999999999997,1.5304820537567139
2021-12-02,BNF,0.55,3,62.55000000000001,1.4007787704467773
2021-12-09,BNF,0.55,3,141.85,1.4998273849487305
2021-12-16,BNF,0.55,3,88.69999999999997,1.336522102355957
2021-12-23,BNF,0.55,3,27.39999999999999,1.3737883567810059
2021-12-30,BNF,0.55,3,30.15000000000001,2.1833088397979736
2022-01-06,BNF,0.55,3,0,23.63209342956543
2022-01-13,BNF,0.55,3,106.85000000000001,1.2028632164001465
2022-01-20,BNF,0.55,3,143.45000000000002,1.7625141143798828
2022-01-27,BNF,0.55,3,152.89999999999992,2.2697675228118896
2022-02-03,BNF,0.55,3,16.39999999999999,1.074737787246704
2022-02-10,BNF,0.55,3,-2.8000000000000114,1.6938915252685547
2022-02-17,BNF,0.55,3,17.94999999999999,1.265019178390503
2022-02-24,BNF,0.55,3,139.65000000000003,1.4906563758850098
2022-03-03,BNF,0.55,3,203.14999999999998,1.569678783416748
2022-03-10,BNF,0.55,3,299.8499999999999,2.359933614730835
