date,token,stoploss,max_order,net_P&L,time,SP_1,SP_time_1,CE_sell_1,PE_sell_1,CE_buy_1,PE_buy_1,start_time_CE_1,start_time_PE_1,end_time_CE_1,end_time_PE_1,SP_2,SP_time_2,CE_sell_2,PE_sell_2,CE_buy_2,PE_buy_2,start_time_CE_2,start_time_PE_2,end_time_CE_2,end_time_PE_2,SP_3,SP_time_3,CE_sell_3,PE_sell_3,CE_buy_3,PE_buy_3,start_time_CE_3,start_time_PE_3,end_time_CE_3,end_time_PE_3,SP_4,SP_time_4,CE_sell_4,PE_sell_4,CE_buy_4,PE_buy_4,start_time_CE_4,start_time_PE_4,end_time_CE_4,end_time_PE_4,SP_5,SP_time_5,CE_sell_5,PE_sell_5,CE_buy_5,PE_buy_5,start_time_CE_5,start_time_PE_5,end_time_CE_5,end_time_PE_5,SP_6,SP_time_6,CE_sell_6,PE_sell_6,CE_buy_6,PE_buy_6,start_time_CE_6,start_time_PE_6,end_time_CE_6,end_time_PE_6,SP_7,SP_time_7,CE_sell_7,PE_sell_7,CE_buy_7,PE_buy_7,start_time_CE_7,start_time_PE_7,end_time_CE_7,end_time_PE_7,SP_8,SP_time_8,CE_sell_8,PE_sell_8,CE_buy_8,PE_buy_8,start_time_CE_8,start_time_PE_8,end_time_CE_8,end_time_PE_8,SP_9,SP_time_9,CE_sell_9,PE_sell_9,CE_buy_9,PE_buy_9,start_time_CE_9,start_time_PE_9,end_time_CE_9,end_time_PE_9,SP_10,SP_time_10,CE_sell_10,PE_sell_10,CE_buy_10,PE_buy_10,start_time_CE_10,start_time_PE_10,end_time_CE_10,end_time_PE_10
2021-10-28,BNF,0.5,3,141.8,1.113687515258789,40700,09:15:00,224.1,147.0,39.5,220.5,09:15:00,09:15:00,11:48:00,09:56:00,40300,11:49:00,189.3,95.2,136.8,117.0,11:49:00,11:49:00,13:05:00,12:11:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-03,BNF,0.5,3,57.64999999999999,1.4515581130981445,40000,09:15:00,185.95,150.0,246.6,138.8,09:15:00,09:15:00,09:36:00,10:09:00,40000,10:10:00,173.7,140.3,30.7,176.2,10:10:00,10:10:00,13:37:00,11:34:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-11,BNF,0.5,3,221.05,1.104950189590454,38700,09:15:00,263.05,130.1,18.1,154.0,09:15:00,09:15:00,14:24:00,10:28:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-18,BNF,0.5,3,219.20000000000005,1.028630018234253,37900,09:15:00,330.05,93.3,155.6,84.3,09:15:00,09:15:00,10:53:00,09:29:00,37900,10:54:00,154.8,140.0,111.8,181.3,10:54:00,10:54:00,12:47:00,11:41:00,37900,12:48:00,115.25,140.2,114.2,107.2,12:48:00,12:48:00,13:07:00,13:30:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-25,BNF,0.5,3,-116.55000000000001,1.1267569065093994,37300,09:15:00,175.3,186.55,188.0,241.1,09:15:00,09:15:00,09:31:00,10:17:00,37100,10:18:00,185.0,141.6,277.5,58.5,10:18:00,10:18:00,11:01:00,11:43:00,37400,11:44:00,100.6,177.7,150.9,167.3,11:44:00,11:44:00,12:21:00,12:28:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-02,BNF,0.5,3,56.499999999999986,1.1760375499725342,36200,09:15:00,226.1,211.15,294.7,84.3,09:15:00,09:15:00,09:34:00,11:55:00,36400,11:56:00,118.2,158.95,75.2,203.7,11:56:00,11:56:00,13:34:00,13:13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-09,BNF,0.5,3,39.70000000000002,1.2572252750396729,37400,09:15:00,123.4,197.85,23.7,264.9,09:15:00,09:15:00,10:47:00,09:24:00,37100,10:48:00,94.15,154.45,89.9,183.5,10:48:00,10:48:00,12:14:00,11:42:00,37100,12:15:00,111.55,88.4,132.4,35.7,12:15:00,12:15:00,12:35:00,13:23:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-16,BNF,0.5,3,96.5,0.9453811645507812,37100,09:15:00,163.7,165.0,18.1,214.1,09:15:00,09:15:00,12:59:00,09:27:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-23,BNF,0.5,3,42.39999999999998,1.0201201438903809,35300,09:15:00,136.45,163.85,75.6,216.4,09:15:00,09:15:00,12:01:00,10:23:00,35300,12:02:00,79.35,112.75,119.0,39.0,12:02:00,12:02:00,12:18:00,13:36:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-12-30,BNF,0.5,3,48.050000000000004,1.8432090282440186,34800,09:15:00,186.65,130.55,280.0,68.9,09:15:00,09:15:00,09:43:00,11:15:00,34900,11:16:00,119.25,107.0,128.9,17.6,11:16:00,11:16:00,12:05:00,14:11:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
