date,token,stoploss,max_order,net_P&L,time
2021-08-18,BNF,0.5,3,84.15,1.2232415676116943
2021-08-26,BNF,0.5,3,132.35000000000002,3.7826263904571533
2021-09-02,BNF,0.5,3,-13.300000000000026,1.2490308284759521
2021-09-09,BNF,0.5,3,97.79999999999998,1.6145532131195068
2021-09-16,BNF,0.5,3,-14.450000000000017,2.3493854999542236
2021-09-23,BNF,0.5,3,125.85,2.1539528369903564
2021-09-30,BNF,0.5,3,-130.75,3.3808038234710693
2021-10-07,BNF,0.5,3,81.5,2.1102871894836426
2021-10-14,BNF,0.5,3,52.599999999999994,1.2856297492980957
2021-10-21,BNF,0.5,3,42.29999999999997,1.4799880981445312
2021-10-28,BNF,0.5,3,141.8,1.4025976657867432
2021-11-03,BNF,0.5,3,57.64999999999999,1.9980850219726562
2021-11-11,BNF,0.5,3,221.05,1.3151299953460693
2021-11-18,BNF,0.5,3,219.20000000000005,1.2890055179595947
2021-11-25,BNF,0.5,3,-134.2,1.7692761421203613
2021-12-02,BNF,0.5,3,56.499999999999986,1.3552603721618652
2021-12-09,BNF,0.5,3,39.70000000000002,1.435230016708374
2021-12-16,BNF,0.5,3,96.5,1.0259270668029785
2021-12-23,BNF,0.5,3,42.39999999999998,1.323108196258545
2021-12-30,BNF,0.5,3,48.050000000000004,2.18837308883667
2022-01-06,BNF,0.5,3,0,22.59772539138794
2022-01-13,BNF,0.5,3,105.05,1.616729974746704
2022-01-20,BNF,0.5,3,148.85000000000002,1.5676987171173096
2022-01-27,BNF,0.5,3,127.54999999999997,2.4719042778015137
2022-02-03,BNF,0.5,3,41.650000000000034,1.2711448669433594
2022-02-10,BNF,0.5,3,111.69999999999996,2.223371982574463
2022-02-17,BNF,0.5,3,4.350000000000051,1.64796781539917
2022-02-24,BNF,0.5,3,34.60000000000002,1.6143043041229248
2022-03-03,BNF,0.5,3,224.14999999999998,1.4042861461639404
2022-03-10,BNF,0.5,3,358.1,1.9228804111480713
2022-03-17,BNF,0.5,3,107.2,2.736876964569092
2022-03-24,BNF,0.5,3,170.30000000000007,2.206975221633911
2022-03-31,BNF,0.5,3,66.74999999999997,2.2350852489471436
2022-04-07,BNF,0.5,3,69.35000000000002,1.3251197338104248
2022-04-13,BNF,0.5,3,122.39999999999999,1.5252163410186768
2022-04-21,BNF,0.5,3,69.00000000000001,1.8488616943359375
2022-04-28,BNF,0.5,3,11.650000000000011,2.6425907611846924
2022-05-05,BNF,0.5,3,35.6,1.7279620170593262
2022-05-12,BNF,0.5,3,45.50000000000001,1.1528370380401611
2022-05-19,BNF,0.5,3,80.25000000000006,1.7003211975097656
2022-05-26,BNF,0.5,3,113.20000000000002,3.1213667392730713
2022-06-02,BNF,0.5,3,-55.40000000000002,1.687516689300537
2022-06-09,BNF,0.5,3,-32.7,1.9338014125823975
2022-06-16,BNF,0.5,3,89.75,1.5725414752960205
2022-06-23,BNF,0.5,3,49.75000000000002,1.7176802158355713
2022-06-30,BNF,0.5,3,-111.94999999999999,2.9029018878936768
2022-07-07,BNF,0.5,3,130.3,1.356011152267456
2022-07-14,BNF,0.5,3,66.7,1.6848909854888916
2022-07-21,BNF,0.5,3,40.79999999999999,1.0522210597991943
2022-07-28,BNF,0.5,3,49.20000000000001,1.5008726119995117
2022-08-04,BNF,0.5,3,170.45,1.6563856601715088
2022-08-11,BNF,0.5,3,64.74999999999999,1.2172152996063232
2022-08-18,BNF,0.5,3,7.79999999999999,1.286022663116455
2022-08-25,BNF,0.5,3,4.150000000000013,1.9800546169281006
2021-08-18,BNF,0.55,3,78.75,1.8748514652252197
2021-08-26,BNF,0.55,3,118.44999999999999,4.6451191902160645
2021-09-02,BNF,0.55,3,8.449999999999957,1.4437739849090576
2021-09-09,BNF,0.55,3,85.40000000000003,1.6628525257110596
2021-09-16,BNF,0.55,3,-25.349999999999994,2.561694622039795
2021-09-23,BNF,0.55,3,118.55000000000001,1.7369194030761719
2021-09-30,BNF,0.55,3,-157.75,3.0789666175842285
2021-10-07,BNF,0.55,3,60.050000000000004,2.1110727787017822
2021-10-14,BNF,0.55,3,45.000000000000014,1.1785087585449219
2021-10-21,BNF,0.55,3,43.699999999999974,0.9116790294647217
2021-10-28,BNF,0.55,3,124.70000000000002,1.3576843738555908
2021-11-03,BNF,0.55,3,37.949999999999974,2.020063638687134
2021-11-11,BNF,0.55,3,215.35000000000002,1.2306616306304932
2021-11-18,BNF,0.55,3,191.8,1.2796664237976074
2021-11-25,BNF,0.55,3,-73.49999999999997,1.5946247577667236
2021-12-02,BNF,0.55,3,62.55000000000001,1.341118574142456
2021-12-09,BNF,0.55,3,141.85,1.4356319904327393
2021-12-16,BNF,0.55,3,88.69999999999997,1.2008769512176514
2021-12-23,BNF,0.55,3,27.39999999999999,1.4260108470916748
2021-12-30,BNF,0.55,3,30.15000000000001,2.1803181171417236
2022-01-06,BNF,0.55,3,0,22.226746082305908
2022-01-13,BNF,0.55,3,106.85000000000001,1.0927019119262695
2022-01-20,BNF,0.55,3,143.45000000000002,1.7741317749023438
2022-01-27,BNF,0.55,3,152.89999999999992,2.1929056644439697
2022-02-03,BNF,0.55,3,16.39999999999999,1.0600855350494385
2022-02-10,BNF,0.55,3,77.9,2.167067527770996
2022-02-17,BNF,0.55,3,3.799999999999983,1.710334062576294
2022-02-24,BNF,0.55,3,139.65000000000003,1.3683149814605713
2022-03-03,BNF,0.55,3,203.14999999999998,1.5439324378967285
2022-03-10,BNF,0.55,3,299.8499999999999,2.2555887699127197
