datetime,stock_code,exchange_code,product_type,expiry_date,right,strike_price,open,high,low,close,volume,open_interest,count
2018-08-30 09:15:00,NIFTY,NSE,,,,,11694.75,11697.0,11690.0,11697.0,0,,0
2018-08-30 09:16:00,NIFTY,NSE,,,,,11696.2,11696.9,11692.0,11693.85,0,,1
2018-08-30 09:17:00,NIFTY,NSE,,,,,11694.35,11698.05,11692.25,11694.15,0,,2
2018-08-30 09:18:00,NIFTY,NSE,,,,,11694.3,11696.55,11690.0,11690.0,0,,3
2018-08-30 09:19:00,NIFTY,NSE,,,,,11689.05,11689.05,11681.7,11681.7,0,,4
2018-08-30 09:20:00,NIFTY,NSE,,,,,11681.25,11683.15,11677.3,11678.0,0,,5
2018-08-30 09:21:00,NIFTY,NSE,,,,,11677.8,11684.7,11677.1,11679.85,0,,6
2018-08-30 09:22:00,NIFTY,NSE,,,,,11679.7,11679.95,11676.5,11679.45,0,,7
2018-08-30 09:23:00,NIFTY,NSE,,,,,11679.55,11679.55,11676.15,11678.6,0,,8
2018-08-30 09:24:00,NIFTY,NSE,,,,,11678.25,11678.75,11675.35,11675.85,0,,9
2018-08-30 09:25:00,NIFTY,NSE,,,,,11675.4,11677.5,11673.35,11675.65,0,,10
2018-08-30 09:26:00,NIFTY,NSE,,,,,11675.85,11675.85,11669.45,11672.65,0,,11
2018-08-30 09:27:00,NIFTY,NSE,,,,,11672.1,11677.25,11671.45,11676.95,0,,12
2018-08-30 09:28:00,NIFTY,NSE,,,,,11677.3,11677.3,11673.45,11673.7,0,,13
2018-08-30 09:29:00,NIFTY,NSE,,,,,11674.05,11678.65,11673.95,11677.55,0,,14
2018-08-30 09:30:00,NIFTY,NSE,,,,,11677.45,11677.45,11670.45,11670.9,0,,15
2018-08-30 09:31:00,NIFTY,NSE,,,,,11670.4,11670.95,11667.4,11668.3,0,,16
2018-08-30 09:32:00,NIFTY,NSE,,,,,11668.1,11670.35,11666.45,11670.35,0,,17
2018-08-30 09:33:00,NIFTY,NSE,,,,,11669.85,11670.7,11667.45,11668.05,0,,18
2018-08-30 09:34:00,NIFTY,NSE,,,,,11668.45,11668.45,11665.65,11667.75,0,,19
2018-08-30 09:35:00,NIFTY,NSE,,,,,11668.0,11671.95,11666.9,11671.55,0,,20
2018-08-30 09:36:00,NIFTY,NSE,,,,,11671.75,11673.35,11669.75,11673.2,0,,21
2018-08-30 09:37:00,NIFTY,NSE,,,,,11672.65,11674.8,11672.65,11674.65,0,,22
2018-08-30 09:38:00,NIFTY,NSE,,,,,11674.9,11675.2,11672.05,11673.1,0,,23
2018-08-30 09:39:00,NIFTY,NSE,,,,,11672.3,11675.05,11671.8,11674.85,0,,24
2018-08-30 09:40:00,NIFTY,NSE,,,,,11674.85,11679.45,11674.85,11678.35,0,,25
2018-08-30 09:41:00,NIFTY,NSE,,,,,11678.0,11678.35,11674.55,11674.55,0,,26
2018-08-30 09:42:00,NIFTY,NSE,,,,,11674.45,11675.7,11673.25,11673.45,0,,27
2018-08-30 09:43:00,NIFTY,NSE,,,,,11673.85,11676.7,11673.55,11676.7,0,,28
2018-08-30 09:44:00,NIFTY,NSE,,,,,11676.6,11677.45,11673.5,11673.8,0,,29
2018-08-30 09:45:00,NIFTY,NSE,,,,,11673.25,11674.8,11673.15,11674.35,0,,30
2018-08-30 09:46:00,NIFTY,NSE,,,,,11674.65,11675.4,11672.15,11673.35,0,,31
2018-08-30 09:47:00,NIFTY,NSE,,,,,11673.75,11674.35,11671.45,11673.15,0,,32
2018-08-30 09:48:00,NIFTY,NSE,,,,,11673.05,11674.35,11671.75,11672.05,0,,33
2018-08-30 09:49:00,NIFTY,NSE,,,,,11671.85,11673.0,11670.9,11672.0,0,,34
2018-08-30 09:50:00,NIFTY,NSE,,,,,11671.7,11673.1,11670.6,11672.7,0,,35
2018-08-30 09:51:00,NIFTY,NSE,,,,,11672.45,11674.45,11671.95,11672.6,0,,36
2018-08-30 09:52:00,NIFTY,NSE,,,,,11673.05,11673.55,11671.05,11673.15,0,,37
2018-08-30 09:53:00,NIFTY,NSE,,,,,11673.2,11675.75,11673.2,11675.75,0,,38
2018-08-30 09:54:00,NIFTY,NSE,,,,,11675.6,11676.4,11674.2,11674.25,0,,39
2018-08-30 09:55:00,NIFTY,NSE,,,,,11674.65,11674.8,11670.85,11671.35,0,,40
2018-08-30 09:56:00,NIFTY,NSE,,,,,11670.95,11671.45,11669.6,11671.2,0,,41
2018-08-30 09:57:00,NIFTY,NSE,,,,,11670.25,11671.55,11667.8,11668.45,0,,42
2018-08-30 09:58:00,NIFTY,NSE,,,,,11668.45,11668.45,11665.35,11667.05,0,,43
2018-08-30 09:59:00,NIFTY,NSE,,,,,11666.85,11667.75,11665.1,11665.15,0,,44
2018-08-30 10:00:00,NIFTY,NSE,,,,,11664.95,11665.1,11660.75,11661.05,0,,45
2018-08-30 10:01:00,NIFTY,NSE,,,,,11661.3,11661.8,11659.15,11659.15,0,,46
2018-08-30 10:02:00,NIFTY,NSE,,,,,11658.8,11659.35,11657.5,11659.35,0,,47
2018-08-30 10:03:00,NIFTY,NSE,,,,,11659.05,11660.95,11658.5,11660.25,0,,48
2018-08-30 10:04:00,NIFTY,NSE,,,,,11660.35,11660.5,11659.15,11660.45,0,,49
2018-08-30 10:05:00,NIFTY,NSE,,,,,11660.7,11662.75,11660.45,11662.15,0,,50
2018-08-30 10:06:00,NIFTY,NSE,,,,,11661.75,11663.85,11661.75,11663.6,0,,51
2018-08-30 10:07:00,NIFTY,NSE,,,,,11663.85,11665.0,11663.25,11663.7,0,,52
2018-08-30 10:08:00,NIFTY,NSE,,,,,11663.4,11663.85,11660.8,11661.5,0,,53
2018-08-30 10:09:00,NIFTY,NSE,,,,,11661.95,11661.95,11659.7,11660.25,0,,54
2018-08-30 10:10:00,NIFTY,NSE,,,,,11659.9,11661.6,11658.8,11661.35,0,,55
2018-08-30 10:11:00,NIFTY,NSE,,,,,11661.35,11662.15,11659.65,11660.25,0,,56
2018-08-30 10:12:00,NIFTY,NSE,,,,,11660.0,11661.8,11659.75,11661.7,0,,57
2018-08-30 10:13:00,NIFTY,NSE,,,,,11662.0,11665.65,11661.0,11665.65,0,,58
2018-08-30 10:14:00,NIFTY,NSE,,,,,11665.85,11666.2,11664.55,11665.85,0,,59
