date,expiry_date,time,stoploss,strike_price,actual_strike_price,call_start,call_stop,call_stop_time,put_start,put_stop,put_stop_time,net,net_gain,net_loss,call_profit,put_profit
19-01-2023,19-01-2023,10:20,0.3,42400,42361.6,101.85,122.55,2023-01-19 10:25:00,147.15,76.6,2023-01-19 11:02:00,49.85000000000001,49.85000000000001,,20.324005891016203,
25-01-2023,25-01-2023,10:20,0.3,42100,42088.6,134.8,76.25,2023-01-25 10:44:00,141.3,169.85,2023-01-25 10:43:00,30.00000000000003,30.00000000000003,,,20.205237084217963
02-02-2023,02-02-2023,10:20,0.3,40500,40401.55,190.7,126.6,2023-02-02 10:29:00,288.1,156.55,2023-02-02 11:54:00,195.65,195.65,,,
09-02-2023,09-02-2023,10:20,0.3,41400,41397.95,124.25,83.25,2023-02-09 10:49:00,123.2,148.35,2023-02-09 10:50:00,15.850000000000009,15.850000000000009,,,20.41396103896103
16-02-2023,16-02-2023,10:20,0.3,41900,41849.1,76.4,92.4,2023-02-16 11:02:00,125.85,245.8,2023-02-16 15:15:00,-135.95000000000002,,-135.95000000000002,20.942408376963346,
23-02-2023,23-02-2023,10:20,0.3,40100,40055.4,121.2,84.75,2023-02-23 10:51:00,150.6,93.35,2023-02-23 13:46:00,93.7,93.7,,,
02-03-2023,02-03-2023,10:20,0.3,40600,40592.35,111.4,133.7,2023-03-02 10:38:00,100.55,64.2,2023-03-02 10:37:00,14.050000000000011,14.050000000000011,,20.017953321364438,
09-03-2023,09-03-2023,10:20,0.3,41500,41488.8,74.8,90.1,2023-03-09 10:48:00,105.65,70.5,2023-03-09 10:28:00,19.85000000000001,19.85000000000001,,20.45454545454545,
16-03-2023,16-03-2023,10:20,0.3,38800,38731.8,141.85,97.2,2023-03-16 12:31:00,177.0,111.75,2023-03-16 10:24:00,109.89999999999999,109.89999999999999,,,
23-03-2023,23-03-2023,10:20,0.3,40100,40037.65,99.75,119.7,2023-03-23 10:27:00,173.15,106.3,2023-03-23 12:17:00,46.900000000000006,46.900000000000006,,20.000000000000004,
29-03-2023,29-03-2023,10:20,0.3,39800,39715.6,75.55,50.8,2023-03-29 12:19:00,159.7,100.0,2023-03-29 10:24:00,84.44999999999999,84.44999999999999,,,
06-04-2023,06-04-2023,10:20,0.3,41200,41124.75,78.15,94.5,2023-04-06 10:55:00,161.35,103.8,2023-04-06 10:54:00,41.2,41.2,,20.921305182341644,
13-04-2023,13-04-2023,10:20,0.3,41700,41679.95,99.25,69.35,2023-04-13 10:50:00,96.5,116.75,2023-04-13 10:53:00,9.650000000000006,9.650000000000006,,,20.984455958549223
20-04-2023,20-04-2023,10:20,0.3,42400,42309.75,63.2,40.75,2023-04-20 10:29:00,148.8,178.85,2023-04-20 11:22:00,-7.59999999999998,,-7.59999999999998,,20.194892473118266
27-04-2023,27-04-2023,10:20,0.3,42900,42840.9,83.3,56.9,2023-04-27 10:44:00,133.1,159.75,2023-04-27 11:10:00,-0.2500000000000071,,-0.2500000000000071,,20.02253944402705
04-05-2023,04-05-2023,10:20,0.3,43400,43302.25,55.4,66.7,2023-05-04 10:48:00,144.55,101.1,2023-05-04 10:59:00,32.15000000000001,32.15000000000001,,20.39711191335741,
11-05-2023,11-05-2023,10:20,0.3,43600,43591.85,93.35,112.3,2023-05-11 10:49:00,129.65,89.7,2023-05-11 10:56:00,21.0,21.0,,20.29994643813605,
18-05-2023,18-05-2023,10:20,0.3,44000,43934.9,71.0,49.5,2023-05-18 12:52:00,144.05,97.15,2023-05-18 10:57:00,68.4,68.4,,,
25-05-2023,25-05-2023,10:20,0.3,43600,43535.2,77.8,50.65,2023-05-25 11:19:00,130.45,156.75,2023-05-25 11:27:00,0.8499999999999872,0.8499999999999872,,,20.16098121885781
01-06-2023,01-06-2023,10:20,0.3,44100,44053.0,99.35,119.45,2023-06-01 13:25:00,98.85,68.35,2023-06-01 12:33:00,10.399999999999991,10.399999999999991,,20.23150478107701,
08-06-2023,08-06-2023,10:20,0.3,44500,44432.35,68.8,47.5,2023-06-08 11:22:00,140.1,169.4,2023-06-08 13:48:00,-8.000000000000014,,-8.000000000000014,,20.913633119200583
15-06-2023,15-06-2023,10:20,0.3,44000,43927.35,67.45,47.15,2023-06-15 11:05:00,110.55,133.65,2023-06-15 10:55:00,-2.8000000000000043,,-2.8000000000000043,,20.89552238805971
22-06-2023,22-06-2023,10:20,0.3,43900,43895.55,96.1,62.55,2023-06-22 12:09:00,106.05,72.25,2023-06-22 10:27:00,67.35,67.35,,,
