instrument_token,last_price,open,high,low,close,change,timestamp
260105,47554.0,47391.05,47642.15,47373.1,47124.6,0.9112013682874793,2024-04-01 12:26:11
260105,47551.5,47391.05,47642.15,47373.1,47124.6,0.9058962834697832,2024-04-01 12:26:12
260105,47550.65,47391.05,47642.15,47373.1,47124.6,0.9040925546317696,2024-04-01 12:26:13
260105,47550.6,47391.05,47642.15,47373.1,47124.6,0.9039864529354096,2024-04-01 12:26:14
260105,47549.25,47391.05,47642.15,47373.1,47124.6,0.9011217071338568,2024-04-01 12:26:15
260105,47551.75,47391.05,47642.15,47373.1,47124.6,0.9064267919515528,2024-04-01 12:26:16
260105,47551.25,47391.05,47642.15,47373.1,47124.6,0.9053657749880136,2024-04-01 12:26:18
260105,47552.65,47391.05,47642.15,47373.1,47124.6,0.9083366224859265,2024-04-01 12:26:19
260105,47551.55,47391.05,47642.15,47373.1,47124.6,0.9060023851661433,2024-04-01 12:26:20
260105,47551.45,47391.05,47642.15,47373.1,47124.6,0.9057901817734232,2024-04-01 12:26:21
260105,47549.75,47391.05,47642.15,47373.1,47124.6,0.902182724097396,2024-04-01 12:26:22
260105,47551.55,47391.05,47642.15,47373.1,47124.6,0.9060023851661433,2024-04-01 12:26:23
260105,47554.45,47391.05,47642.15,47373.1,47124.6,0.9121562835546584,2024-04-01 12:26:24
260105,47558.25,47391.05,47642.15,47373.1,47124.6,0.9202200124775626,2024-04-01 12:26:25
260105,47554.1,47391.05,47642.15,47373.1,47124.6,0.911413571680184,2024-04-01 12:26:26
260105,47555.15,47391.05,47642.15,47373.1,47124.6,0.9136417073036226,2024-04-01 12:26:27
260105,47558.15,47391.05,47642.15,47373.1,47124.6,0.9200078090848579,2024-04-01 12:26:28
260105,47553.8,47391.05,47642.15,47373.1,47124.6,0.9107769615020698,2024-04-01 12:26:30
260105,47555.4,47391.05,47642.15,47373.1,47124.6,0.9141722157853922,2024-04-01 12:26:31
260105,47556.8,47391.05,47642.15,47373.1,47124.6,0.9171430632833051,2024-04-01 12:26:32
260105,47563.35,47391.05,47642.15,47373.1,47124.6,0.9310423855056595,2024-04-01 12:26:33
260105,47559.35,47391.05,47642.15,47373.1,47124.6,0.9225542497973458,2024-04-01 12:26:34
260105,47558.7,47391.05,47642.15,47373.1,47124.6,0.9211749277447417,2024-04-01 12:26:35
260105,47556.3,47391.05,47642.15,47373.1,47124.6,0.9160820463197659,2024-04-01 12:26:36
260105,47553.7,47391.05,47642.15,47373.1,47124.6,0.9105647581093496,2024-04-01 12:26:37
260105,47558.4,47391.05,47642.15,47373.1,47124.6,0.9205383175666274,2024-04-01 12:26:38
260105,47554.8,47391.05,47642.15,47373.1,47124.6,0.9128989954291482,2024-04-01 12:26:39
